SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S0771;Ihsanalshehbazia granatensis;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Ihsanalshehbazia;granatensis;BrassiWood/Kasper Hendriks;NA;10791709;NA;NA;NA;NA;H;NA;NA;NA;Y
S0772;Foleyola billotii;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Foleyola;billotii;BrassiWood/Kasper Hendriks;284473-1;3052567;AFRICA;NW. Africa;NA;desert or dry shrubland;W;NA;NA;NA;Y
S0795;Dendroarabis fruticulosa;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Dendroarabis;fruticulosa;BrassiWood/Kasper Hendriks;77069428-1;3688387;ASIA-TEMPERATE;C. Asia to S. Siberia and N. Pakistan;subshrub;temperate;W;NA;NA;NA;Y
S0809;Olimarabidopsis pumila;Brassicaceae;Brassicoideae;Camelinodae (I);Alyssopsideae;Olimarabidopsis;pumila;BrassiWood/Kasper Hendriks;1009840-1;3042459;EUROPE;Krym, Sinai to Mongolia and China (Gansu);annual;temperate;H;NA;NA;NA;Y
S0827;Dvorakia alaica;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Dvorakia;alaica;BrassiWood/Kasper Hendriks;77205300-1;12314543;ASIA-TEMPERATE;C. Asia;NA;temperate;H;NA;NA;NA;NA
S0834;Abdra brachycarpa;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Abdra;brachycarpa;BrassiWood/Kasper Hendriks;277104-1;3049670;NORTHERN AMERICA;N., C. & SE. U.S.A.;annual;temperate;H;NA;NA;NA;Y
S0836;Tomostima reptans;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Tomostima;reptans;BrassiWood/Kasper Hendriks;77122976-1;7839918;NORTHERN AMERICA;N. America;annual or biennial;temperate;H;NA;Carolina draba, Carolina whitlowgrass, creeping draba, creeping whitlowgrass, white whitlowgrass;NA;Y
S0851;Diplotaxis harra;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Diplotaxis;harra;BrassiWood/Kasper Hendriks;282186-1;5376405;EUROPE;N. Africa to N. Somalia and SW. Pakistan;subshrub;subtropical;W;NA;NA;NA;NA
S0888;Lepidotrichum uechtritzianum;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Lepidotrichum;uechtritzianum;BrassiWood/Kasper Hendriks;286475-1;3054029;EUROPE;E. Bulgaria to NW. & N. Türkiye;subshrub;temperate;H;NA;NA;NA;Y
S0890;Aethionema erinaceum;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;erinaceum;BrassiWood/Kasper Hendriks;77095101-1;3693658;ASIA-TEMPERATE;S. Iran;subshrub;temperate;W;NA;NA;NA;NA
S0892;Heliophila integrifolia;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;integrifolia;BrassiWood/Kasper Hendriks;284587-1;5374316;AFRICA;Cape Prov.;annual;subtropical;H;NA;NA;NA;Y
S0893;Selenia aurea;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Selenia;aurea;BrassiWood/Kasper Hendriks;288887-1;5375699;NORTHERN AMERICA;Kansas to Arkansas;annual;temperate;H;NA;NA;NA;Y
S0894;Parrya arctica;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Parrya;arctica;BrassiWood/Kasper Hendriks;303337-2;3053872;NORTHERN AMERICA;Subarctic America;subshrub;subalpine or subarctic;H;NA;arctic false wallflower;NA;Y
S0895;Phlegmatospermum cochlearinum;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Phlegmatospermum;cochlearinum;BrassiWood/Kasper Hendriks;288093-1;3050384;AUSTRALASIA;Southern Australia;annual;NA;H;NA;NA;NA;Y
S0896;Harmsiodoxa blennodioides;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Harmsiodoxa;blennodioides;BrassiWood/Kasper Hendriks;284569-1;3041953;AUSTRALASIA;Central to South East Australia;annual or subshrub;NA;H;NA;NA;NA;Y
S0897;Quidproquo confusum;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Quidproquo;confusum;BrassiWood/Kasper Hendriks;907583-1;3041016;ASIA-TEMPERATE;S. Syria, Lebanon, Israel;annual;subtropical;H;NA;NA;NA;Y
S0899;Petiniotia purpurascens;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Petiniotia;purpurascens;BrassiWood/Kasper Hendriks;288081-1;3051223;ASIA-TEMPERATE;C. & S. Iran to S. Pakistan;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0901;Drabella muralis;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Drabella;muralis;BrassiWood/Kasper Hendriks;282843-1;5375971;EUROPE;Europe, Medit. to Caucasus;annual or biennial;temperate;H;NA;NA;Wit hongerbloempje;Y
S0902;Draba incana;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;incana;BrassiWood/Kasper Hendriks;282687-1;3049770;EUROPE;C. & E. Canada to NC. & NE. U.S.A., Greenland, N. Europe, W. Alps, C. Pyrenees;biennial or perennial;subalpine or subarctic;H;NA;hoary whitlow-grass, twisted draba, twisted whitlow-grass;NA;Y
S0903;Dithyrea californica;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Dithyrea;californica;BrassiWood/Kasper Hendriks;30255887-2;3053543;NORTHERN AMERICA;SW. U.S.A. to NW. Mexico;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0906;Rhizobotrya alpina;Brassicaceae;Brassicoideae;Brassicodae (II);Kernereae;Rhizobotrya;alpina;BrassiWood/Kasper Hendriks;288573-1;3040717;EUROPE;SE. Alps;perennial;temperate;H;NA;NA;NA;Y
S0941;Menkea australis;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Menkea;australis;BrassiWood/Kasper Hendriks;287029-1;3051194;AUSTRALASIA;Southern Australia;annual or subshrub;NA;H;NA;NA;NA;Y
S0946;Scambopus curvipes;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Scambopus;curvipes;BrassiWood/Kasper Hendriks;161610-3;3050737;AUSTRALASIA;Southern South of Australia;annual or subshrub;NA;H;NA;NA;NA;Y
S0947;Irenepharsus phasmatodes;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Irenepharsus;phasmatodes;BrassiWood/Kasper Hendriks;900126-1;3041059;AUSTRALASIA;South Australia;annual or biennial;NA;H;NA;NA;NA;Y
S0949;Pachymitus cardaminoides;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Pachymitus;cardaminoides;BrassiWood/Kasper Hendriks;154458-3;3040890;AUSTRALASIA;South Eastern Australia;annual;NA;H;NA;NA;NA;Y
S0951;Solms-laubachia pulcherrima;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Solms-laubachia;pulcherrima;BrassiWood/Kasper Hendriks;289916-1;3112;ASIA-TEMPERATE;Tibet to China (Sichuan, Yunnan);perennial;subalpine or subarctic;H;NA;NA;NA;Y
S0952;Phyllolepidum rupestre;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Phyllolepidum;rupestre;BrassiWood/Kasper Hendriks;77117670-1;7292667;EUROPE;C. Italy, Balkan Pen.;subshrub;temperate;H;NA;NA;NA;Y
S0954;Douepea tortuosa;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Douepea;tortuosa;BrassiWood/Kasper Hendriks;282302-1;3043821;ASIA-TROPICAL;W. Pakistan;subshrub;subtropical;W;NA;NA;NA;Y
S0956;Thlaspiceras rechingeri;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Thlaspiceras;rechingeri;BrassiWood/Kasper Hendriks;77148294-1;3052730;ASIA-TEMPERATE;S. Türkiye;biennial;temperate;H;NA;NA;NA;NA
S0957;Pugionium cornutum;Brassicaceae;Brassicoideae;Heliophilodae (V);Megacarpaeeae;Pugionium;cornutum;BrassiWood/Kasper Hendriks;288314-1;3042082;ASIA-TEMPERATE;N. China;annual;temperate;H;NA;NA;NA;Y
S0959;Neurotropis orbiculata;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Neurotropis;orbiculata;BrassiWood/Kasper Hendriks;77148285-1;8575396;ASIA-TEMPERATE;N. Türkiye to Caucasus;annual;temperate;H;NA;NA;NA;Y
S0960;Pseudosempervivum aucheri;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Pseudosempervivum;aucheri;BrassiWood/Kasper Hendriks;77203176-1;3042495;ASIA-TEMPERATE;E. Türkiye to Transcaucasus;biennial;temperate;H;NA;NA;NA;Y
S0963;Braya alpina;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Braya;alpina;BrassiWood/Kasper Hendriks;279595-1;5373787;EUROPE;E. Alps;perennial;temperate;H;NA;NA;NA;Y
S0964;Masmenia rosularis;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Masmenia;rosularis;BrassiWood/Kasper Hendriks;77148296-1;3052673;ASIA-TEMPERATE;CS. Türkiye;biennial;temperate;H;NA;NA;NA;Y
S0989;Eudema calycina;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Eudema;calycina;BrassiWood/Kasper Hendriks;36284-2;0;SOUTHERN AMERICA;Peru to NW. Argentina;perennial;subalpine or subarctic;H;NA;NA;NA;Y
S1011;Sinapis alba;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Sinapis;alba;BrassiWood/Kasper Hendriks;288952-1;3047621;EUROPE;Europe to China;annual;temperate;H;crop;White mustard;Witte mosterd/Gele mosterd;Y
S1021;Crambella teretifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Crambella;teretifolia;BrassiWood/Kasper Hendriks;281688-1;3041199;AFRICA;Morocco;NA;subtropical;H;NA;NA;NA;Y
S1038;Eudema rupestris;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Eudema;rupestris;BrassiWood/Kasper Hendriks;97981-2;5373107;SOUTHERN AMERICA;Ecuador (Mt. Assuay);perennial or subshrub;subalpine or subarctic;H;NA;NA;NA;Y
S1039;Englerocharis peruviana;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Englerocharis;peruviana;BrassiWood/Kasper Hendriks;91031-2;3051433;SOUTHERN AMERICA;Peru to Bolivia (La Paz);subshrub;montane tropical;H;NA;NA;NA;Y
S1040;Sibara angelorum;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Sibara;angelorum;BrassiWood/Kasper Hendriks;298826-2;3048033;NORTHERN AMERICA;Mexico (Baja California, Sonora);NA;desert or dry shrubland;H;NA;NA;NA;Y
S1043;Dactylocardamum imbricatifolium;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Dactylocardamum;imbricatifolium;BrassiWood/Kasper Hendriks;275636-2;3042986;SOUTHERN AMERICA;Peru (Cordillera Blanca);subshrub;montane tropical;W;NA;NA;NA;Y
S1044;Chilocardamum patagonicum;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Chilocardamum;patagonicum;BrassiWood/Kasper Hendriks;56474-2;3042992;SOUTHERN AMERICA;S. Argentina;perennial or subshrub;subtropical;H;NA;NA;NA;Y
S1045;Alshehbazia friesii;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Alshehbazia;friesii;BrassiWood/Kasper Hendriks;77222429-1;12315182;SOUTHERN AMERICA;S. Peru to NW. Argentina;subshrub;subalpine or subarctic;H;NA;NA;NA;NA
