order;level;code;WGSRPD_name;;
180;L3;BRY;Buryatiya;;
181;L3;CTA;Chita;;
182;L3;IRK;Irkutsk;;
183;L3;KRA;Krasnoyarsk;;
184;L3;TVA;Tuva;;
185;L3;WSB;West Siberia;;
186;L3;YAK;Yakutskiya;;
187;L2;31;Russian Far East;;
188;L3;AMU;Amur;;
189;L3;KAM;Kamchatka;;
190;L3;KHA;Khabarovsk;;
191;L3;KUR;Kuril Is.;;
192;L3;MAG;Magadan;;
193;L3;PRM;Primorye;;
194;L3;SAK;Sakhalin;;
195;L2;32;Middle Asia;;
196;L3;KAZ;Kazakhstan;;
197;L3;KGZ;Kirgizistan;;
198;L3;TKM;Turkmenistan;;
199;L3;TZK;Tadzhikistan;;
200;L3;UZB;Uzbekistan;;
201;L2;33;Caucasus;;
202;L3;NCS;North Caucasus;;
203;L4;NCS-CH;Chechnya;;
204;L4;NCS-DA;Dagestan;;
205;L4;NCS-IN;Ingushetiya;;
206;L4;NCS-KB;Kabardino-Balkariya;;
207;L4;NCS-KC;Karacheyevo-Cherkessiya;;
208;L4;NCS-KR;Krasnodar;;
209;L4;NCS-SO;Severo-Osetiya;;
210;L4;NCS-ST;Stavropol;;
211;L3;TCS;Transcaucasus;;
212;L4;TCS-AB;Abkhaziya;;
213;L4;TCS-AD;Adzhariya;;
214;L4;TCS-AR;Armenia;;
215;L4;TCS-AZ;Azerbaijan;;
216;L4;TCS-GR;Gruziya;;
217;L4;TCS-NA;Nakhichevan;;
218;L4;TCS-NK;Nagorno Karabakh;;
219;L2;34;Western Asia;;
220;L3;AFG;Afghanistan;;
221;L3;CYP;Cyprus;;
222;L3;EAI;East Aegean Is.;;
223;L3;IRN;Iran;;
224;L3;IRQ;Iraq;;
225;L3;LBS;Lebanon-Syria;;
226;L4;LBS-LB;Lebanon;;
227;L4;LBS-SY;Syria;;
228;L3;PAL;Palestine;;
229;L4;PAL-JO;Jordan;;
230;L4;PAL-IS;Israel;;
231;L3;SIN;Sinai;;
232;L3;TUR;Turkey;;
233;L2;35;Arabian Peninsula;;
234;L3;GST;Gulf States;;
235;L4;GST-BA;Bahrain;;
236;L4;GST-QA;Qatar;;
237;L4;GST-UA;United Arab Emirates;;
238;L3;KUW;Kuwait;;
239;L3;OMA;Oman;;
240;L3;SAU;Saudi Arabia;;
241;L3;YEM;Yemen;;
242;L4;YEM-NY;North Yemen;;
243;L4;YEM-SY;South Yemen;;
244;L2;36;China;;
245;L3;CHC;China South-Central;;
246;L4;CHC-CQ;Chongqing;;
247;L4;CHC-GZ;Guizhou;;
248;L4;CHC-HU;Hubei;;
249;L4;CHC-SC;Sichuan;;
250;L4;CHC-YN;Yunnan;;
251;L3;CHH;Hainan;;
252;L3;CHI;Inner Mongolia;;
253;L4;CHI-NM;Nei Mongol;;
254;L4;CHI-NX;Ningxia;;
255;L3;CHM;Manchuria;;
256;L4;CHM-HJ;Heilongjiang;;
257;L4;CHM-JL;Jilin;;
258;L4;CHM-LN;Liaoning;;
259;L3;CHN;China North-Central;;
260;L4;CHN-BJ;Beijing;;
261;L4;CHN-GS;Gansu;;
262;L4;CHN-HB;Hebei;;
263;L4;CHN-SA;Shaanxi;;
264;L4;CHN-SD;Shandong;;
265;L4;CHN-SX;Shanxi;;
266;L4;CHN-TJ;Tianjin;;
267;L3;CHQ;Qinghai;;
268;L3;CHS;China Southeast;;
269;L4;CHS-AH;Anhui;;
270;L4;CHS-FJ;Fujian;;
271;L4;CHS-GD;Guangdong;;
272;L4;CHS-GX;Guangxi;;
273;L4;CHS-HE;Henan;;
274;L4;CHS-HK;Hong Kong;;
275;L4;CHS-HN;Hunan;;
276;L4;CHS-JS;Jiangsu;;
277;L4;CHS-JX;Jiangxi;;
278;L4;CHS-KI;Kin-Men;;
279;L4;CHS-MA;Macau;;
280;L4;CHS-MP;Ma-tsu-Pai-chuan;;
281;L4;CHS-SH;Shanghai;;
282;L4;CHS-ZJ;Zhejiang;;
283;L3;CHT;Tibet;;
284;L3;CHX;Xinjiang;;
285;L2;37;Mongolia;;
286;L3;MON;Mongolia;;
287;L2;38;Eastern Asia;;
288;L3;JAP;Japan;;
289;L4;JAP-HK;Hokkaido;;
290;L4;JAP-HN;Honshu;;
291;L4;JAP-KY;Kyushu;;
292;L4;JAP-SH;Shikoku;;
293;L3;KOR;Korea;;
294;L4;KOR-NK;North Korea;;
295;L4;KOR-SK;South Korea;;
296;L3;KZN;Kazan-retto;;
297;L3;NNS;Nansei-shoto;;
298;L3;OGA;Ogasawara-shoto;;
299;L3;TAI;Taiwan;;
300;L1;4;Asia-Tropical;;
301;L2;40;Indian Subcontinent;;
302;L3;ASS;Assam;;
303;L4;ASS-AS;Assam;;
304;L4;ASS-MA;Manipur;;
305;L4;ASS-ME;Meghalaya;;
306;L4;ASS-MI;Mizoram;;
307;L4;ASS-NA;Nagaland;;
308;L4;ASS-TR;Tripura;;
309;L3;BAN;Bangladesh;;
310;L3;EHM;East Himalaya;;
311;L4;EHM-AP;Arunachal Pradesh;;
312;L4;EHM-BH;Bhutan;;
313;L4;EHM-DJ;Darjiling;;
314;L4;EHM-SI;Sikkim;;
315;L3;IND;India;;
316;L4;IND-AP;Andhra Pradesh;;
317;L4;IND-BI;Bihar;;
318;L4;IND-CH;Chandigarh;;
319;L4;IND-CT;Chhattisgarh;;
320;L4;IND-DD;Dadra-Nagar-Haveli;;
321;L4;IND-DE;Delhi;;
322;L4;IND-DI;Diu;;
323;L4;IND-DM;Daman;;
324;L4;IND-GO;Goa;;
325;L4;IND-GU;Gujarat;;
326;L4;IND-HA;Haryana;;
327;L4;IND-JK;Jharkhand;;
328;L4;IND-KE;Kerala;;
329;L4;IND-KL;Karaikal;;
330;L4;IND-KT;Karnataka;;
331;L4;IND-MH;Mahe;;
332;L4;IND-MP;Madhya Pradesh;;
333;L4;IND-MR;Maharashtra;;
334;L4;IND-OR;Orissa;;
335;L4;IND-PO;Pondicherry;;
336;L4;IND-PU;Punjab;;
337;L4;IND-RA;Rajasthan;;
338;L4;IND-TN;Tamil Nadu;;
339;L4;IND-UP;Uttar Pradesh;;
340;L4;IND-WB;West Bengal;;
341;L4;IND-YA;Yanam;;
342;L3;LDV;Laccadive Is.;;
343;L3;MDV;Maldives;;
344;L3;NEP;Nepal;;
345;L3;PAK;Pakistan;;
346;L3;SRL;Sri Lanka;;
347;L3;WHM;West Himalaya;;
348;L4;WHM-HP;Himachal Pradesh;;
349;L4;WHM-JK;Jammu-Kashmir;;
350;L4;WHM-UT;Uttaranchal;;
351;L2;41;Indo-China;;
352;L3;AND;Andaman Is.;;
353;L4;AND-AN;Andaman Is.;;
354;L4;AND-CO;Coco Is.;;
355;L3;CBD;Cambodia;;
356;L3;LAO;Laos;;
357;L3;MYA;Myanmar;;
358;L3;NCB;Nicobar Is.;;
359;L3;SCS;South China Sea;;
360;L4;SCS-PI;Paracel Is.;;
361;L4;SCS-SI;Spratly Is.;;
362;L3;THA;Thailand;;
363;L3;VIE;Vietnam;;
364;L2;42;Malesia;;
365;L3;BOR;Borneo;;
366;L4;BOR-BR;Brunei;;
367;L4;BOR-KA;Kalimantan;;
368;L4;BOR-SB;Sabah;;
369;L4;BOR-SR;Sarawak;;
370;L3;CKI;Cocos (Keeling) Is.;;
371;L3;JAW;Jawa;;
372;L3;LSI;Lesser Sunda Is.;;
373;L4;LSI-BA;Bali;;
374;L4;LSI-ET;East Timor;;
375;L4;LSI-LS;Lesser Sunda Is.;;
376;L3;MLY;Malaya;;
377;L4;MLY-PM;Peninsular Malaysia;;
378;L4;MLY-SI;Singapore;;
379;L3;MOL;Maluku;;
380;L3;PHI;Philippines;;
381;L3;SUL;Sulawesi;;
382;L3;SUM;Sumatera;;
383;L3;XMS;Christmas I.;;
384;L2;43;Papuasia;;
385;L3;BIS;Bismarck Archipelago;;
386;L3;NWG;New Guinea;;
387;L4;NWG-PN;Papua New Guinea;;
388;L4;NWG-IJ;Irian Jaya;;
389;L3;SOL;Solomon Is.;;
390;L4;SOL-NO;North Solomons;;
391;L4;SOL-SO;South Solomons;;
392;L1;5;Australasia;;
393;L2;50;Australia;;
394;L3;NFK;Norfolk Is.;;
395;L4;NFK-LH;Lord Howe I.;;
396;L4;NFK-NI;Norfolk I.;;
397;L3;NSW;New South Wales;;
398;L4;NSW-CT;Australian Capital Territory;;
399;L4;NSW-NS;New South Wales;;
400;L3;NTA;Northern Territory;;
401;L3;QLD;Queensland;;
402;L4;QLD-CS;Coral Sea Is. Territory;;
403;L4;QLD-QU;Queensland;;
404;L3;SOA;South Australia;;
405;L3;TAS;Tasmania;;
406;L3;VIC;Victoria;;
407;L3;WAU;Western Australia;;
408;L4;WAU-AC;Ashmore-Cartier Is.;;
409;L4;WAU-WA;Western Australia;;
410;L2;51;New Zealand;;
411;L3;ATP;Antipodean Is.;;
412;L3;CTM;Chatham Is.;;
413;L3;KER;Kermadec Is.;;
414;L3;NZN;New Zealand North;;
415;L3;NZS;New Zealand South;;
416;L1;6;Pacific;;
417;L2;60;Southwestern Pacific;;
418;L3;FIJ;Fiji;;
419;L3;GIL;Gilbert Is.;;
420;L3;HBI;Howland-Baker Is.;;
421;L3;NRU;Nauru;;
422;L3;NUE;Niue;;
423;L3;NWC;New Caledonia;;
424;L3;PHX;Phoenix Is.;;
425;L3;SAM;Samoa;;
426;L4;SAM-AS;American Samoa;;
427;L4;SAM-WS;Samoa;;
428;L3;SCZ;Santa Cruz Is.;;
429;L3;TOK;Tokelau-Manihiki;;
430;L4;TOK-MA;Manihiki Is.;;
431;L4;TOK-SW;Swains I.;;
432;L4;TOK-TO;Tokelau;;
433;L3;TON;Tonga;;
434;L3;TUV;Tuvalu;;
435;L3;VAN;Vanuatu;;
436;L3;WAL;Wallis-Futuna Is.;;
437;L2;61;South-Central Pacific;;
438;L3;COO;Cook Is.;;
439;L3;EAS;Easter Is.;;
440;L3;LIN;Line Is.;;
441;L4;LIN-KI;Kiribati Line Is.;;
442;L4;LIN-US;U.S. Line Is.;;
443;L3;MRQ;Marquesas;;
444;L3;PIT;Pitcairn Is.;;
445;L3;SCI;Society Is.;;
446;L3;TUA;Tuamotu;;
447;L3;TUB;Tubuai Is.;;
448;L2;62;Northwestern Pacific;;
449;L3;CRL;Caroline Is.;;
450;L4;CRL-MF;Micronesia Federated States;;
451;L4;CRL-PA;Palau;;
452;L3;MCS;Marcus I.;;
453;L3;MRN;Marianas;;
454;L4;MRN-GU;Guam;;
455;L4;MRN-NM;Northern Marianas;;
456;L3;MRS;Marshall Is.;;
457;L3;WAK;Wake I.;;
458;L2;63;North-Central Pacific;;
459;L3;HAW;Hawaii;;
460;L4;HAW-HI;Hawaiian Is.;;
461;L4;HAW-JI;Johnston I.;;
462;L4;HAW-MI;Midway Is.;;
463;L1;7;Northern America;;
464;L2;70;Subarctic America;;
465;L3;ALU;Aleutian Is.;;
466;L3;ASK;Alaska;;
467;L3;GNL;Greenland;;
468;L3;NUN;Nunavut;;
469;L3;NWT;Northwest Territories;;
470;L3;YUK;Yukon;;
471;L2;71;Western Canada;;
472;L3;ABT;Alberta;;
473;L3;BRC;British Columbia;;
474;L3;MAN;Manitoba;;
475;L3;SAS;Saskatchewan;;
476;L2;72;Eastern Canada;;
477;L3;LAB;Labrador;;
478;L3;NBR;New Brunswick;;
479;L3;NFL;Newfoundland;;
480;L4;NFL-NE;Newfoundland;;
481;L4;NFL-SP;St. Pierre-Miquelon;;
482;L3;NSC;Nova Scotia;;
483;L3;ONT;Ontario;;
484;L3;PEI;Prince Edward I.;;
485;L3;QUE;Québec;;
486;L2;73;Northwestern U.S.A.;;
487;L3;COL;Colorado;;
488;L3;IDA;Idaho;;
489;L3;MNT;Montana;;
490;L3;ORE;Oregon;;
491;L3;WAS;Washington;;
492;L3;WYO;Wyoming;;
493;L2;74;North-Central U.S.A.;;
494;L3;ILL;Illinois;;
495;L3;IOW;Iowa;;
496;L3;KAN;Kansas;;
497;L3;MIN;Minnesota;;
498;L3;MSO;Missouri;;
499;L3;NDA;North Dakota;;
500;L3;NEB;Nebraska;;
501;L3;OKL;Oklahoma;;
502;L3;SDA;South Dakota;;
503;L3;WIS;Wisconsin;;
504;L2;75;Northeastern U.S.A.;;
505;L3;CNT;Connecticut;;
506;L3;INI;Indiana;;
507;L3;MAI;Maine;;
508;L3;MAS;Massachusetts;;
509;L3;MIC;Michigan;;
510;L3;NWH;New Hampshire;;
511;L3;NWJ;New Jersey;;
512;L3;NWY;New York;;
513;L3;OHI;Ohio;;
514;L3;PEN;Pennsylvania;;
515;L3;RHO;Rhode I.;;
516;L3;VER;Vermont;;
517;L3;WVA;West Virginia;;
518;L2;76;Southwestern U.S.A.;;
519;L3;ARI;Arizona;;
520;L3;CAL;California;;
521;L3;NEV;Nevada;;
522;L3;UTA;Utah;;
523;L2;77;South-Central U.S.A.;;
524;L3;NWM;New Mexico;;
525;L3;TEX;Texas;;
526;L2;78;Southeastern U.S.A.;;
527;L3;ALA;Alabama;;
528;L3;ARK;Arkansas;;
529;L3;DEL;Delaware;;
530;L3;FLA;Florida;;
531;L3;GEO;Georgia;;
532;L3;KTY;Kentucky;;
533;L3;LOU;Louisiana;;
534;L3;MRY;Maryland;;
535;L3;MSI;Mississippi;;
536;L3;NCA;North Carolina;;
537;L3;SCA;South Carolina;;
538;L3;TEN;Tennessee;;
539;L3;VRG;Virginia;;
540;L3;WDC;District of Columbia;;
541;L2;79;Mexico;;
542;L3;MXC;Mexico Central;;
543;L4;MXC-DF;Mexico Distrito Federal;;
544;L4;MXC-ME;Mexico State;;
545;L4;MXC-MO;Morelos;;
546;L4;MXC-PU;Puebla;;
547;L4;MXC-TL;Tlaxcala;;
548;L3;MXE;Mexico Northeast;;
549;L4;MXE-AG;Aguascalientes;;
550;L4;MXE-CO;Coahuila;;
551;L4;MXE-CU;Chihuahua;;
552;L4;MXE-DU;Durango;;
553;L4;MXE-GU;Guanajuato;;
554;L4;MXE-HI;Hidalgo;;
555;L4;MXE-NL;Nuevo León;;
556;L4;MXE-QU;Querétaro;;
557;L4;MXE-SL;San Luis Potosí;;
558;L4;MXE-TA;Tamaulipas;;
559;L4;MXE-ZA;Zacatecas;;
560;L3;MXG;Mexico Gulf;;
561;L4;MXG-VC;Veracruz;;
562;L3;MXI;Mexican Pacific Is.;;
563;L4;MXI-GU;Guadalupe I.;;
564;L4;MXI-RA;Rocas Alijos;;
565;L4;MXI-RG;Revillagigedo Is.;;
566;L3;MXN;Mexico Northwest;;
567;L4;MXN-BC;Baja California;;
568;L4;MXN-BS;Baja California Sur;;
569;L4;MXN-SI;Sinaloa;;
570;L4;MXN-SO;Sonora;;
571;L3;MXS;Mexico Southwest;;
572;L4;MXS-CL;Colima;;
573;L4;MXS-GR;Guerrero;;
574;L4;MXS-JA;Jalisco;;
575;L4;MXS-MI;Michoacan;;
576;L4;MXS-NA;Nayarit;;
577;L4;MXS-OA;Oaxaca;;
578;L3;MXT;Mexico Southeast;;
579;L4;MXT-CA;Campeche;;
580;L4;MXT-CI;Chiapas;;
581;L4;MXT-QR;Quintana Roo;;
582;L4;MXT-TB;Tabasco;;
583;L4;MXT-YU;Yucatán;;
584;L1;8;Southern America;;
585;L2;80;Central America;;
