SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S0724;Acuston lunarioides;Raf.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Acuston;lunarioides;BrassiWood/Kasper Hendriks;277110-1;10902918;NA;EUROPE;Aegean Is.;1, 3;NA;NA;13, 34;NA;NA;EAI, GRC, KRI;NA;NA;subshrub;subtropical;H;NA;NA;NA;NA;SRR22519439
S1374;Asperuginoides axillaris;Rauschert;Brassicaceae;Brassicoideae;Arabodae (IV);Asperuginoideae;Asperuginoides;axillaris;BrassiWood/Kasper Hendriks;910044-1;3040790;1445165;ASIA-TEMPERATE;S. Transcaucasus to C. Asia and W. Himalaya;3, 4;NA;NA;32, 33, 34, 40;NA;NA;AFG, IRN, KAZ, KGZ, PAK, TCS, TKM, TZK, UZB, WHM;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519677
S1464;Hollermayera valdiviana;Ravenna;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Hollermayera;valdiviana;BrassiWood/Kasper Hendriks;123537-2;3050513;1410882;SOUTHERN AMERICA;SC. & S. Chile;8;NA;NA;85;NA;NA;CLC, CLS;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519616
S0558;Hornungia petraea;Rchb.;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Hornungia;petraea;BrassiWood/Kasper Hendriks;285375-1;5376179;212118;EUROPE;Europe to NW. Iraq, NW. Africa;1, 2, 3;NA;NA;10, 11, 12, 13, 14, 20, 34;NA;NA;ALB, ALG, AUT, BAL, BGM, BLT, BUL, COR, CZE, EAI, FRA, GER, GRB, GRC, HUN, IRQ, ITA, KRI, KRY, MOR, NOR, POR, SAR, SIC, SPA, SWE, SWI, TUE, TUN, TUR, UKR, YUG;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519462
SRR8528391;Andrzeiowskia cardamine;Rchb.;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Andrzeiowskia;cardamine;BrassiToL/Luke Nikolov;277897-1;3048803;492738;EUROPE;Bulgaria to W. Caucasus and W. Syria;1, 3;NA;NA;13, 33, 34;NA;NA;BUL, CYP, LBS, NCS, TUE, TUR;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR8528391
S0689;Smelowskia alba;Regel;Brassicaceae;Brassicoideae;Camelinodae (I);Smelowskieae;Smelowskia;alba;BrassiWood/Kasper Hendriks;289869-1;3045563;779074;ASIA-TEMPERATE;Siberia to Russian Far East and NE. China;3;NA;NA;30, 31, 36, 37;NA;NA;ALT, AMU, BRY, CHM, CTA, IRK, KRA, MAG, MON, TVA, YAK;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519545
S0293;Cusickiella douglasii;Rollins;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Cusickiella;douglasii;BrassiWood/Kasper Hendriks;275474-2;3042109;76559;NORTHERN AMERICA;W. U.S.A.;7;NA;NA;73, 76;NA;NA;CAL, IDA, NEV, ORE, UTA, WAS;NA;NA;perennial or subshrub;temperate;H;NA;NA;NA;NA;SRR22519522
S0294;Dimorphocarpa wislizenii;Rollins;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Dimorphocarpa;wislizenii;BrassiWood/Kasper Hendriks;1154622-2;3047653;161924;NORTHERN AMERICA;WC. & SC. U.S.A. to N. Mexico;7;NA;NA;73, 76, 77, 79;NA;NA;ARI, COL, MXE, MXN, NEV, NWM, TEX, UTA;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519511
S0346;Romanschulzia arabiformis;Rollins;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Romanschulzia;arabiformis;BrassiWood/Kasper Hendriks;221817-2;3053669;278869;NORTHERN AMERICA;Mexico;7;NA;NA;79;NA;NA;MXC, MXE, MXG, MXS;NA;NA;annual or perennial;temperate;H;NA;NA;NA;NA;SRR22519577
S0643;Pennellia longifolia;Rollins;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Pennellia;longifolia;BrassiWood/Kasper Hendriks;187066-2;3051382;166304;NORTHERN AMERICA;Colorado to C. America;7, 8;NA;NA;73, 76, 77, 79, 80;NA;NA;ARI, COL, COS, GUA, MXC, MXE, MXG, MXN, MXS, MXT, NWM, TEX;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519563
