SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S0312;Calepina irregularis;Thell.;Brassicaceae;Brassicoideae;Brassicodae (II);Calepineae;Calepina;irregularis;BrassiWood/Kasper Hendriks;279822-1;3048782;159649;EUROPE;Europe, Medit to Iran;1, 2, 3;1, 7;NA;11, 12, 13, 14, 20, 32, 33, 34;10, 11, 12, 78;NA;ALB, ALG, BUL, COR, CYP, EAI, FRA, GRC, HUN, IRN, IRQ, ITA, KRY, LBS, MOR, NCS, PAL, POR, RUS, SAR, SIC, SPA, TCS, TKM, TUE, TUR, YUG;BAL, BGM, GER, GRB, MRY, NCA, NET, SWI, VRG;NA;annual or biennial;temperate;H;NA;NA;kalkraket;NA;SRR22519472
S1341;Teesdalia coronopifolia;Thell.;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Teesdalia;coronopifolia;BrassiWood/Kasper Hendriks;290309-1;3054156;79324;EUROPE;Madeira, Medit.;1, 2, 3;7;NA;12, 13, 14, 20, 21, 34;76;NA;ALG, BUL, COR, CYP, EAI, FRA, GRC, ITA, KRI, KRY, LBS, MDR, MOR, POR, SAR, SIC, SPA, TUE, TUN, TUR, YUG;CAL;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519318
S1474;Dilophia salsa;Thomson;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Dilophia;salsa;BrassiWood/Kasper Hendriks;282133-1;5375432;802652;ASIA-TEMPERATE;C. Asia to China (Gansu) and Himalaya;3, 4;NA;NA;32, 36, 40;NA;NA;CHN, CHQ, CHT, CHX, EHM, KGZ, NEP, TZK, WHM;NA;NA;biennial or perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519611
S1095;Atacama nivea;Toro, Mort & Al-Shehbaz;Brassicaceae;Brassicoideae;Unplaced;Unplaced;Atacama;nivea;BrassiWood/Kasper Hendriks;77147104-1;11000999;903213;SOUTHERN AMERICA;N. Chile;8;NA;NA;85;NA;NA;CLN;NA;NA;subshrub;subalpine or subarctic;W;NA;NA;NA;NA;SRR22519407
S1276;Leavenworthia aurea;Torr.;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Leavenworthia;aurea;BrassiWood/Kasper Hendriks;30447706-2;3047233;164449;NORTHERN AMERICA;Oklahoma;7;NA;NA;74;NA;NA;OKL;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519384
S0673;Diptychocarpus strictus;Trautv.;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Diptychocarpus;strictus;BrassiWood/Kasper Hendriks;282259-1;3052559;515386;EUROPE;S. European Russia to W. Himalaya and N. China;1, 3, 4;NA;NA;14, 32, 33, 34, 36, 40;NA;NA;AFG, CHI, CHN, CHX, IRN, KAZ, KGZ, PAK, RUS, TCS, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR13271434
S0952;Phyllolepidum rupestre;Trinajsti_;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Phyllolepidum;rupestre;BrassiWood/Kasper Hendriks;974777-1;7292667;907585;EUROPE;C. Italy, Balkan Pen.;1;NA;NA;13;NA;NA;ALB, GRC, ITA, YUG;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519540
S0691;Farsetia aegyptia;Turra;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Farsetia;aegyptia;BrassiWood/Kasper Hendriks;284373-1;3047968;496040;AFRICA;Mauritania to Iraq and Arabian Pen.;2, 3, 4;NA;NA;20, 22, 24, 34, 35, 40;NA;NA;AFG, ALG, CHA, EGY, GST, IRQ, KUW, LBS, LBY, MLI, MOR, MTN, OMA, PAK, PAL, SAU, SIN, SUD, TUN, WSA;NA;NA;subshrub or shrub;desert or dry shrubland;W;NA;NA;NA;NA;SRR22519445
S0297;Horwoodia dicksoniae;Turrill;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Horwoodia;dicksoniae;BrassiWood/Kasper Hendriks;285377-1;3050777;951568;ASIA-TEMPERATE;Iraq to Arabian Pen.;3;NA;NA;34, 35;NA;NA;IRQ, KUW, PAL, SAU;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519500
S0430;Physoptychis caspica;V.V. Botschantz.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Physoptychis;caspica;BrassiWood/Kasper Hendriks;288145-1;3047671;853681;ASIA-TEMPERATE;SE. Türkiye to Iran;3;NA;NA;33, 34;NA;NA;IRN, IRQ, TCS, TUR;NA;NA;perennial or subshrub;temperate;H;NA;NA;NA;NA;SRR22519354
S1249;Pterygostemon spathulatus;V.V. Botschantz.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Pterygostemon;spathulatus;BrassiWood/Kasper Hendriks;288280-1;3051683;1451463;ASIA-TEMPERATE;C. Asia to Xinjiang;3;NA;NA;32, 36;NA;NA;CHX, KAZ;NA;NA;NA;temperate;H;NA;NA;NA;NA;SRR22519396
S0888;Lepidotrichum uechtritzianum;Velen. & Bornm.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Lepidotrichum;uechtritzianum;BrassiWood/Kasper Hendriks;286475-1;3054029;866856;EUROPE;E. Bulgaria to NW. & N. Türkiye;1, 3;NA;NA;13, 34;NA;NA;BUL, TUE, TUR;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519661
S1270;Vella castrilensis;Vivero, J. Prado, Hern. Berm., Crespo & al.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Vella;castrilensis;BrassiWood/Kasper Hendriks;77067651-1;5375667;1149969;EUROPE;Spain;1;NA;NA;12;NA;NA;SPA;NA;NA;NA;NA;H;NA;NA;NA;NA;SRR22519385
S0320;Euclidium syriacum;W.T. Aiton;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Euclidium;syriacum;BrassiWood/Kasper Hendriks;284272-1;3049314;77103;EUROPE;SE. Europe to India;1, 3, 4;1, 2, 3, 7;NA;13, 14, 32, 33, 34, 36, 37, 40;11, 14, 20, 31, 73, 75, 76;NA;AFG, BUL, CHX, IND, IRN, IRQ, KAZ, KGZ, KRY, LBS, MON, NCS, PAK, PAL, RUC, RUE, RUS, TCS, TKM, TUR, TZK, UKR, UZB, WHM, YUG;ALG, AUT, BLR, CAL, COL, CZE, IDA, MAS, ORE, PRM, RUW, UTA, WAS, WYO;NA;annual;subtropical;H;NA;syrian mustard;NA;NA;SRR22519587
S0420;Teesdalia nudicaulis;W.T. Aiton;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Teesdalia;nudicaulis;BrassiWood/Kasper Hendriks;290314-1;3054168;79325;EUROPE;Madeira, Europe, Morocco;1, 2;5, 7, 8;1;10, 11, 12, 13, 14, 20, 21;50, 71, 73, 75, 76, 78, 85;11;AUT, BGM, BLR, BLT, COR, CZE, DEN, FRA, GER, GRB, IRE, ITA, MDR, MOR, NET, POL, POR, ROM, SIC, SPA, SWE, UKR, YUG;BRC, CAL, CLS, CNT, MAS, MIC, MRY, NCA, NWJ, NWY, ORE, PEN, SCA, TAS, VRG, WAS;HUN, SWI;annual;temperate;H;NA;bare-stemmed teesdalia, bare-stemmed teesdalia, barestem teesdalia, common shepherd's-cress, common shepherd's-cress, shepherd's cress, shepherd's-cress, shepherd's-cress;klein tasjeskruid;NA;SRR22519360
S0593;Nasturtium officinale;W.T. Aiton;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Nasturtium;officinale;BrassiWood/Kasper Hendriks;287534-1;7701037;78174;EUROPE;Europe to C. Asia and Arabian Pen., Macaronesia, N. & NE. Trop. Africa;1, 2, 3, 4;1, 2, 3, 4, 5, 6, 7, 8, 9;NA;10, 11, 12, 13, 14, 20, 21, 24, 32, 33, 34, 35, 40;14, 22, 23, 25, 26, 27, 28, 29, 36, 38, 40, 41, 42, 43, 50, 51, 60, 61, 62, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 90;NA;AFG, ALB, ALG, AUT, AZO, BAL, BGM, BUL, CHA, CNY, COR, CVI, CYP, CZE, EAI, EGY, ETH, FRA, GER, GRC, HUN, IRE, IRN, IRQ, ITA, KAZ, KGZ, KRI, KRY, LBY, MDR, MOR, NCS, NET, PAK, PAL, POL, POR, ROM, RUC, SAR, SAU, SIC, SIN, SPA, SUD, SWE, SWI, TCS, TKM, TUE, TUN, TUR, UKR, UZB, WHM, YUG;ABT, AGE, AGS, AGW, ALA, ANG, ARI, ARK, ASK, ASS, BAN, BLT, BOL, BOR, BRC, BZS, CAL, CHC, CHM, CHN, CHS, CHT, CHX, CLC, CLM, CLN, CLS, CMN, CNT, COL, COM, COO, COS, CPP, CUB, DEL, DOM, ECU, EHM, ELS, FIJ, FLA, FRG, GAL, GEO, GGI, GUA, HAI, HON, IDA, ILL, IND, INI, IOW, JAM, JAW, JNF, KAN, KEN, KOR, KTY, LEE, LES, LSI, MAI, MAN, MAS, MAU, MIC, MIN, MLI, MNT, MOZ, MRN, MRY, MSI, MSO, MTN, MXE, MXG, MXN, MXS, MXT, NAT, NBR, NCA, NDA, NEB, NEP, NEV, NFK, NFL, NGR, NIC, NSC, NTA, NWC, NWG, NWH, NWJ, NWM, NWY, NZN, OFS, OHI, OKL, ONT, ORE, PAR, PEI, PEN, PER, PHI, PUE, QLD, QUE, REU, RHO, ROD, RWA, SCA, SCI, SDA, SOA, SOL, SRL, STH, TAI, TAN, TAS, TDC, TEN, TEX, TRT, TUB, TVL, URU, UTA, VEN, VER, VIC, VIE, VRG, WAS, WAU, WDC, WIN, WIS, WVA, WYO, ZAI, ZIM;NA;perennial or helophyte;temperate;H;crop;watercress;witte waterkers;Least Concern;SRR22519453
S0722;Macropodium nivale;W.T. Aiton;Brassicaceae;Brassicoideae;Arabodae (IV);Stevenieae;Macropodium;nivale;BrassiWood/Kasper Hendriks;286697-1;8213172;1046628;ASIA-TEMPERATE;S. Siberia to Mongolia;3;NA;NA;30, 32, 36, 37;NA;NA;ALT, BRY, CHX, IRK, KAZ, KRA, MON, TVA, WSB;NA;NA;rhizomatous geophyte;temperate;H;NA;NA;NA;NA;SRR22519440
S0734;Barbarea vulgaris;W.T. Aiton;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Barbarea;vulgaris;BrassiWood/Kasper Hendriks;29455-2;5708780;56126;EUROPE;Europe, Medit. to Japan;1, 2, 3, 4;1, 3, 4, 5, 7, 8;NA;10, 11, 12, 13, 14, 20, 30, 32, 33, 34, 36, 37, 38, 40;10, 14, 31, 36, 40, 51, 70, 71, 72, 73, 74, 75, 76, 77, 78, 85;NA;AFG, ALB, ALG, ALT, AUT, BGM, BLR, BLT, BRY, BUL, CHM, CHX, COR, CTA, CZE, DEN, FRA, GER, GRB, GRC, HUN, IRE, IRK, IRQ, ITA, JAP, KAZ, KGZ, KOR, KRA, KRI, MON, NCS, NET, NNS, PAK, POL, POR, ROM, RUC, RUE, RUS, RUW, SAR, SIC, SPA, SWE, SWI, TCS, TKM, TUE, TUN, TUR, TVA, TZK, UKR, UZB, WHM, WSB, YUG;ABT, AGS, ALA, AMU, ARK, ASK, BRC, CAL, CHS, CLS, CNT, COL, FIN, GEO, ICE, IDA, ILL, INI, IOW, KAN, KTY, LAB, MAI, MAN, MAS, MIC, MIN, MNT, MRY, MSO, NBR, NCA, NEB, NFL, NOR, NWH, NWJ, NWM, NWY, NZN, NZS, OHI, OKL, ONT, ORE, PEI, PEN, PRM, QUE, RHO, RUN, SAK, SAS, SDA, SRL, SVA, TEN, UTA, VER, VRG, WAS, WIS, WVA, WYO;NA;biennial or perennial;temperate;H;NA;bitter wintercress, bitter wintercress, bittercress, common winter-cress, common wintercress, common wintercress, cress, cress, cressy-greens, cressy-greens, garden yellow rocket, garden yellow rocket, garden yellowrocket, herb-barbaras, rocket cress, upland cress, winter cress, winter-cress, wintercress, yellow rocket, yellow rocket;gewoon barbarakruid;Least Concern;SRR22519431
S0735;Aethionema saxatile;W.T. Aiton;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;saxatile;BrassiWood/Kasper Hendriks;277234-1;7870683;334601;EUROPE;EC. & S. Europe, E. Algeria;1, 2, 3;8;NA;11, 12, 13, 20, 34;85;NA;ALB, ALG, AUT, BUL, CZE, EAI, FRA, GER, GRC, HUN, ITA, KRI, MOR, ROM, SAR, SIC, SPA, SWI, TUR, YUG;AGS;NA;annual or subshrub;temperate;W;ornamental;burnt candytuft;steenkers;NA;SRR22519430
S1342;Teesdalia nudicaulis;W.T. Aiton;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Teesdalia;nudicaulis;BrassiWood/Kasper Hendriks;290314-1;3054168;79325;EUROPE;Madeira, Europe, Morocco;1, 2;5, 7, 8;1;10, 11, 12, 13, 14, 20, 21;50, 71, 73, 75, 76, 78, 85;11;AUT, BGM, BLR, BLT, COR, CZE, DEN, FRA, GER, GRB, IRE, ITA, MDR, MOR, NET, POL, POR, ROM, SIC, SPA, SWE, UKR, YUG;BRC, CAL, CLS, CNT, MAS, MIC, MRY, NCA, NWJ, NWY, ORE, PEN, SCA, TAS, VRG, WAS;HUN, SWI;annual;temperate;H;NA;bare-stemmed teesdalia, bare-stemmed teesdalia, barestem teesdalia, common shepherd's-cress, common shepherd's-cress, shepherd's cress, shepherd's-cress, shepherd's-cress;klein tasjeskruid;NA;SRR22519317
S1375;Malcolmia maritima;W.T. Aiton;Brassicaceae;Brassicoideae;Camelinodae (I);Malcolmieae;Malcolmia;maritima;BrassiWood/Kasper Hendriks;286774-1;5373124;165098;EUROPE;W. Albania to W. Greece;1;1, 2, 3, 8;NA;13;11, 12, 13, 20, 21, 34, 85;NA;ALB, GRC;AGS, ALG, AUT, BAL, CNY, COR, CZE, FRA, IRQ, ITA, MDR, MOR, SIC, SPA, TUN, YUG;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519676
SRR8528354;Matthiola incana;W.T. Aiton;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Matthiola;incana;BrassiToL/Luke Nikolov;286910-1;5377378;77966;EUROPE;Spain to Greece;1;1, 2, 3, 4, 5, 6, 7, 8;NA;12, 13;10, 11, 12, 13, 14, 20, 21, 27, 34, 40, 50, 62, 74, 76, 77, 79, 81, 83, 85;NA;ALB, COR, FRA, GRC, ITA, SAR, SIC, SPA, YUG;AGS, ALG, AZO, BAL, BER, BOL, BUL, CAL, CLM, CLN, CNY, CPP, CRL, CYP, CZE, EAI, ECU, GRB, ILL, JNF, LBY, MOR, MXN, MXS, NFK, PAK, PAL, PER, POR, RUE, SOA, TAS, TEX, TUE, TUN, TUR, VIC, WAU;NA;subshrub or shrub;temperate;W;ornamental;brompton stock, common stock, gilliflower, gillyflower, hoary stock, ten-weeks stock;violier;NA;SRR8528354
SRR8528400;Petrocallis pyrenaica;W.T. Aiton;Brassicaceae;Brassicoideae;Brassicodae (II);Kernereae;Petrocallis;pyrenaica;BrassiToL/Luke Nikolov;1198948-2;3050750;501527;EUROPE;Pyrenees, Alps, Carpathians;1;NA;NA;11, 12, 13;NA;NA;AUT, CZE, FRA, GER, ITA, SPA, SWI, YUG;NA;NA;subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR8528400
S0436;Parolinia ornata;Webb;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Parolinia;ornata;BrassiWood/Kasper Hendriks;287941-1;5377800;902544;AFRICA;Canary Is. (Gran Canaria);2;NA;NA;21;NA;NA;CNY;NA;NA;shrub;subtropical;W;NA;NA;NA;NA;SRR22519352
S0617;Hemicrambe fruticulosa;Webb;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Hemicrambe;fruticulosa;BrassiWood/Kasper Hendriks;284815-1;3048696;1186687;AFRICA;N. Morocco;2;NA;NA;20;NA;NA;MOR;NA;NA;NA;subtropical;W;NA;NA;NA;NA;SRR22519449
S1339;Savignya parviflora;Webb;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Savignya;parviflora;BrassiWood/Kasper Hendriks;288834-1;5376117;501508;AFRICA;Algeria to SW. Pakistan;2, 3, 4;NA;NA;20, 34, 35, 40;NA;NA;AFG, ALG, EGY, GST, IRN, IRQ, KUW, LBY, MOR, OMA, PAK, PAL, SAU, SIN, TUN;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519321
S1407;Descurainia sophia;Webb ex Prantl;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Descurainia;sophia;BrassiWood/Kasper Hendriks;78248-2;3044318;58074;EUROPE;Temp. Eurasia, N. Africa;1, 2, 3, 4;1, 2, 3, 5, 6, 7, 8;NA;10, 11, 12, 13, 14, 20, 30, 32, 33, 34, 35, 36, 37, 38, 40;10, 21, 27, 31, 50, 51, 63, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 85;NA;AFG, ALB, ALG, ALT, AUT, BAL, BGM, BLR, BLT, BRY, BUL, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, COR, CTA, CZE, DEN, EGY, EHM, FIN, FRA, GER, GRC, HUN, ICE, IRK, IRN, IRQ, ITA, JAP, KAZ, KGZ, KOR, KRA, KRI, KRY, KUW, LBS, MON, MOR, NCS, NEP, NET, NOR, PAK, PAL, POL, POR, ROM, RUC, RUE, RUN, RUS, RUW, SIC, SPA, SWE, SWI, TCS, TKM, TUE, TUR, TVA, TZK, UKR, UZB, WHM, WSB, YAK, YUG;ABT, AGS, ALA, AMU, ARI, ARK, ASK, BRC, CAL, CLC, CLS, CNT, CNY, COL, CPP, DEL, GEO, GRB, HAW, IDA, ILL, INI, IOW, IRE, KAM, KAN, KHA, KTY, LOU, MAG, MAI, MAN, MAS, MIC, MIN, MNT, MRY, MSO, MXN, NBR, NCA, NDA, NEB, NEV, NFL, NSC, NSW, NWH, NWM, NWT, NWY, NZS, OHI, ONT, ORE, PEI, PEN, PRM, QUE, RHO, SAK, SAS, SDA, SOA, TEN, TEX, TVL, UTA, VER, VRG, WAS, WIS, WVA, WYO, YUK;NA;annual or biennial;temperate;H;NA;flixweed, flixweed tansy mustard, herb sophia;sofiekruid;NA;SRR22519486
S0405;Mancoa hispida;Wedd.;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Mancoa;hispida;BrassiWood/Kasper Hendriks;286806-1;5377828;1075614;SOUTHERN AMERICA;Peru to NW. Argentina;8;NA;NA;83, 85;NA;NA;AGW, BOL, CLN, PER;NA;NA;perennial;montane tropical;H;NA;NA;NA;NA;SRR22519366
S1539;Litwinowia tenuissima;Woronow ex Pavlov;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Litwinowia;tenuissima;BrassiWood/Kasper Hendriks;286614-1;3040955;902769;EUROPE;S. European Russia to SW. Siberia and Pakistan;1, 3, 4;1;NA;14, 30, 32, 33, 34, 36, 37, 40;14;NA;AFG, ALT, CHX, IRN, KAZ, KGZ, MON, NCS, PAK, RUS, TCS, TKM, TZK, UZB;RUE;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519594
SRR6441723;Sinalliaria limprichtiana;X.F. Jin, Y.Y. Zhou & H.W. Zhang;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Sinalliaria;limprichtiana;BrassiToL/Luke Nikolov;77143913-1;11084852;1451506;ASIA-TEMPERATE;China (SE. Anhui, Zhejiang);3;NA;NA;36;NA;NA;CHS;NA;NA;annual or perennial;temperate;H;NA;NA;NA;NA;SRR6441723
SRR8528359;Yinshania acutangula;Y.H. Zhang;Brassicaceae;Brassicoideae;Camelinodae (I);Yinshanieae;Yinshania;acutangula;BrassiToL/Luke Nikolov;944272-1;3051250;904138;ASIA-TEMPERATE;N. & C. China;3;NA;NA;36;NA;NA;CHC, CHI, CHN, CHQ;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR8528359
S0419;Acirostrum alaschanicum;Y.Z. Zhao;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Acirostrum;alaschanicum;BrassiWood/Kasper Hendriks;77122986-1;12306902;1451237;ASIA-TEMPERATE;N. & C. China;3;NA;NA;36;NA;NA;CHC, CHI, CHN, CHQ;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519361
S1378;Chamira circaeoides;Zahlbr.;Brassicaceae;Brassicoideae;Heliophilodae (V);Chamireae;Chamira;circaeoides;BrassiWood/Kasper Hendriks;280878-1;3042179;582051;AFRICA;W. & SW. Cape Prov.;2;NA;NA;27;NA;NA;CPP;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519674
CRNC;Limnanthes douglasii;;Limnanthaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
HYZL;Akania bidwillii;;Akaniaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MYZV;Tropaeolum peregrinum;;Tropaeolaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_005410;Koeberlinia spinosa;;Koeberliniaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_005411;Batis maritima;;Bataceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_008053;Tiganophyton karense;;Tiganophytaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_014331;Macrohasseltia macroterantha;;Malvaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_019361;Cleome albescens;;Cleomaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_019459;Vasconcellea quercifolia;;Caricaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023477;Moringa oleifera;;Moringaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023503;Salvadora persica;;Salvadoraceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023511;Setchellanthus caeruleus;;Setchellanthaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023513;Tovaria pendula;;Tovariaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023515;Forchhammeria pallida;;Resedaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023519;Tersonia cyathiflora;;Gyrostemonaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
S0564;Pentadiplandra brazzeana;;Pentadiplandraceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519459
S1321;Synsepalum afzelii;;Sapotaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519376
S1384;Bretschneidera sinensis;;Akaniaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519672
S1386;Capparicordis tweedieana;;Capparaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519671
S1387;Capparicordis crotonoides;;Capparaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519497
S1388;Capparis spinosa;;Capparaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519496
S1389;Capparis tomentosa;;Capparaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519495
S1398;Emblingia calceoliflora;;Emblingiaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SRR22519491
